Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,Australia,AUS,17.472053918449,17.2903882119531,16.477182244209,16.8149126720627,17.1836756728116,18.1238416723695,18.6637018220714,18.0623751069089,18.0581235975963,17.8078902953801,18.2178115924648,..
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,Australia,AUS,52416161755.3468,69680264494.171,220794242072.4,252223690080.94,264628605361.298,259170935914.884,246360864051.343,213136026261.525,232949794408.992,247529675105.784,245940456498.275,..
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,Australia,AUS,4.4,4.83,4.85,5.05,4.9532334268789,4.85646685375782,5.0220762471397,5.0220762471397,5.0220762471397,5.0220762471397,5.0220762471397,..
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,Australia,AUS,13200000000,19464900000,64990000000,75750000000,76279794773.9351,69447476008.7368,66291406462.244,59260499716.2484,64784783588.1021,69806859835.2418,67798029336.3859,..
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,Australia,AUS,1.2791249901898,1.2379233164257,1.13563696439066,0.981326503753786,0.731929135380556,0.816072941764109,0.62818687170784,0.620248992715344,0.771471893986068,1.33532466914721,1.32323636958308,..
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Australia,AUS,3837374970.56941,4988830965.19558,15217535322.8348,14719897556.3068,11271708684.8606,11669843067.2268,8292066706.54349,7318938114.04106,9951987432.42028,18561012901.1463,17863690989.3716,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Australia,AUS,25.2,21.9,24.3,25.1,24.6,24.2,23.1,21.2,22.4,22.4,23.2,..
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,Australia,AUS,0.531709387229321,0.400415053902827,1.89136298671669,1.1591845877867,1.10585154897312,1.04780961965477,0.686119398563338,1.08290190104473,1.00115021681016,1.23468966892193,1.25941807726955,..
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,Australia,AUS,1595128161.68796,1613672667.22839,25344264022.0037,17387768816.8006,17030113854.1861,14983677561.0633,9056776061.03606,12778242432.3278,12914837796.8511,17162186398.0148,17002144043.1389,..
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,Australia,AUS,1.81083437741912,1.63833837032853,3.02699995110735,2.14051109154049,1.83778068435368,1.86388256141888,1.31430627027118,1.70315089376007,1.77262211079623,2.57001433806914,2.58265444685263,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,..
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,..
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,Australia,AUS,7.71875187488438,4.59576598085087,7.77654909907463,8.251753994604,7.36177887264298,6.07196252343469,4.51811635974674,3.1240655710572,4.42249655744248,4.56621042404432,5.04144766679445,..
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,Australia,AUS,23156255624.6532,18520936902.829,104205757927.6,123776309919.06,113371394638.702,86829064085.116,59639135948.657,36863973738.475,57050205591.008,63470324894.216,68059543501.725,..
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,Australia,AUS,0.0523259773862816,0.0300906729859263,0.0212981549666415,0.0202210866804647,0.0200102759310453,0.0203368306963524,0.020509918578317,0.0194170917700907,0.0188812780930367,0.0188812780930367,0.0198167737577475,..
Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,Australia,AUS,156977932.158845,121265412.133283,285395276.552997,303316300.206971,308158249.338097,290816678.957839,270730925.233784,229121682.88707,243568487.400173,262449765.49321,267526445.729591,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Australia,AUS,20.965,17.9326,13.2616,12.302,12.1846,12.0672,11.9498,11.8324,11.715,11.3258,10.9366,..
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,Australia,AUS,..,..,..,..,0.616469979286194,0.421920001506805,0.169729992747307,1.09826004505157,1.88276994228363,2.45424008369446,..,..
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,Australia,AUS,..,..,..,..,0.390350013971329,0.284759998321533,..,1.09065997600555,2.02921009063721,2.5986499786377,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Australia,AUS,..,..,..,..,0.830600023269653,0.552009999752045,..,1.10546004772186,1.74381995201111,2.31709003448486,..,..
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,Australia,AUS,1300,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,..
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Australia,AUS,1200,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Australia,AUS,49.584531726461,49.7142664180731,48.5137538612537,49.0671933560653,49.6405779919198,50.2597000603197,50.9250562135116,51.7299323519365,52.5996705957282,53.4850882364433,54.3130054758368,55.0519405364956
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,Australia,AUS,16.5421816265515,18.4502959266276,20.2428815519657,20.7654892983375,21.3277589811506,21.8858011005025,22.4193273846272,22.9736095153618,23.5064863290032,24.0303526189308,24.5684822707686,25.1386619196434
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,Australia,AUS,33.0423500999094,31.2639704914455,28.270872309288,28.3017040577278,28.3128190107692,28.3738989598172,28.5057288288844,28.7563228365747,29.093184266725,29.4547356175126,29.7445232050682,29.9132786168522
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Australia,AUS,..,..,0.495555650924844,0.553121350845829,0.639634187344496,0.630650360688312,0.61734636719053,0.626674683743819,0.603490239002574,0.640298694604271,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Australia,AUS,60.4554625567864,59.2881038230738,51.5628132199992,50.3854314463116,48.3937102169923,48.7383986566523,45.3144240657095,44.5399257932247,48.3406179391109,46.6580950127535,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Australia,AUS,4644370,4554690,3961210,3870760,3717750,3744230,3481190,3426020,3718370,3588950,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,Australia,AUS,66.2330171750833,70.1187138340393,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Australia,AUS,103350,117540,118990,118460,80150,89670,85130,68000,89150,88050,..,..
Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,Australia,AUS,95.8039266007956,94.7800527062639,..,..,..,..,..,..,..,..,..,..
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,Australia,AUS,74660,93510,101120,100540,57930,70380,66540,52100,74160,71490,..,..
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Australia,AUS,10.5178902956554,6.05812122082181,3.0056941007751,3.00531039286173,2.99470590118922,2.76493058657309,2.96531758511196,3.1669246341282,2.87482998901218,2.58928758760938,2.13478726789464,..
Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,Australia,AUS,2.04972994945122,1.38692410063491,0.638382938728007,0.586276995277218,0.608527074138374,0.688624425891736,0.7179940417025,0.704552976869098,0.684263945659918,0.759294277703101,0.662080982647874,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Australia,AUS,4.20913187738325,3.11906818178381,2.27654236627696,2.25474804896169,2.27890649460036,2.21622365548348,2.37264411384703,2.40312299408568,2.70442489124027,2.45834595577098,2.12159698465698,1.89796911311257
"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,Australia,AUS,8.19142056477689,6.71773199506956,3.46690371991247,0.973718414733554,-0.728700774517293,1.14502977956528,1.4254052409717,-7.3910621706157,9.55861941334319,-2.66680743243242,-10.1286417771222,-7.95597180650768
"Agriculture, forestry, and fishing, value added (constant 2010 US$)",NV.AGR.TOTL.KD,Australia,AUS,14407188218.9826,20876213795.8503,26060390309.7939,26314145129.1918,26122393749.8277,26421502937.3986,26798116425.0117,24817450979.4851,27189656666.7071,26464560881.8665,23784060312.2539,21891807179.3682
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Australia,AUS,25095000000,36363000000,45393000000,45835000000,45501000000,46022000000,46678000000,43228000000,47360000000,46097000000,41428000000,38132000000
"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,Australia,AUS,16999000000,20622000000,32250000000,33809000000,35011000000,35427000000,38546000000,39909000000,47662000000,45444000000,41428000000,37683000000
"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,Australia,AUS,13081185071.1812,12951077058.3433,31795326826.3827,34861827180.862,35919770185.6982,32522721013.4949,32070887761.045,29050080069.8792,35946903989.7428,35225176342.9192,29629523673.2942,25260088483.711
"Agriculture, forestry, and fishing, value added per worker (constant 2010 US$)",NV.AGR.EMPL.KD,Australia,AUS,..,47730.0999882177,82023.2869504187,82408.8623508499,86580.7451003719,81341.2221681973,85846.1036411708,78839.5873966548,85273.8875380069,80478.8191652271,72561.1813786205,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Australia,AUS,1222.3000488281,1730.735,2846.59879756427,2731.69798,1984.693734,1925.77200862967,1907.05190944687,1868.73262766,1982.586170817,2027.63710989603,1931.1555305,..
"Air transport, passengers carried",IS.AIR.PSGR,Australia,AUS,17553400,32577569,63360310.3377656,66355274,68197955,68123237.6693167,69779346,72446421,74257326,75667645.0347507,76850596.719,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Australia,AUS,255900,382514,593145.002471011,622917,641451,664970,668961,682937,672349,665384,684170,..
Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,Australia,AUS,1.27387330786397,1.18307781435353,1.67382499111307,1.72074104603589,2.13883076334763,2.37342249684338,2.15439420000884,..,..,..,..,..
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Australia,AUS,..,..,..,59.84768088,..,..,..,..,63.42877854,..,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,Australia,AUS,..,..,..,23.3722454585,..,..,..,..,20.4905158874,..,..,..
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,Australia,AUS,..,..,..,16.7800736625,..,..,..,..,16.0807055697,..,..,..
"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,Australia,AUS,..,..,..,3.13387533876016,..,..,..,..,3.24085365853659,..,..,..
"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,Australia,AUS,..,..,..,15.4186666667,..,..,..,..,15.945,..,..,..
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Australia,AUS,..,47,60,66,70,73,75,77,79,81,83,..
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,Australia,AUS,..,0,100,100,100,100,100,100,100,100,100,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Australia,AUS,12401,31746,73126.5390625,78992.1015625,76416.890625,73677.609375,83725.2109375,92449.890625,89824.921875,96798.5234375,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Australia,AUS,2.20715150410684,3.05546516017339,4.12570454160863,4.11821980396496,4.06399125261966,4.16025148718483,4.04705622014241,3.90755614259973,3.99790952181612,4.02677060122049,..,..
Arable land (hectares per person),AG.LND.ARBL.HA.PC,Australia,AUS,0.993606835002432,1.22555213282514,1.41874959489748,1.39166642656542,1.34990599542228,1.36142134462013,1.30545459049685,1.24249165192525,1.24998678961672,1.23981854954919,..,..
Arable land (hectares),AG.LND.ARBL.HA,Australia,AUS,16956000,23473000,31694900,31637400,31220800,31960300,31090700,30057000,30752000,30974000,..,..
ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Australia,AUS,0.800141577992153,0.53734870275588,0.480592406589432,0.467086446065561,0.46487220806353,0.459473022092111,0.459257284035057,0.453616140761012,0.44655657148031,0.43836960911012,..,..
"Armed forces personnel, total",MS.MIL.TOTL.P1,Australia,AUS,68000,51600,57050,56200,56750,56750,57800,57800,58000,58100,..,..
Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,Australia,AUS,168000000,..,143000000,45000000,54000000,97000000,87000000,134000000,98000000,38000000,103000000,396000000
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Australia,AUS,355000000,338000000,1557000000,867000000,245000000,906000000,1464000000,1026000000,1653000000,1557000000,1184000000,1658000000
"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,Australia,AUS,..,..,170.51,164.7,161.17,165.23,163.9,167.7,160.32,146.17,..,..
Average number of visits or required meetings with tax officials (for affected firms),IC.TAX.METG,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Australia,AUS,..,..,..,534,..,..,..,..,534,..,..,..
Average time to clear exports through customs (days),IC.CUS.DURS.EX,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Australia,AUS,..,..,13.640453096644,10.8434917296857,10.19,8.88197550753909,9.24380166975574,9.66069922235104,8.84054377675056,7.76594802737236,7.422201,7.214873
Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, study and work, ages 7-14 (hours per week)",SL.TLF.0714.SW.TM,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",SL.TLF.0714.SW.FE.TM,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, working only, male, ages 7-14 (hours per week)",SL.TLF.0714.WK.MA.TM,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,Australia,AUS,..,..,5.29436930842254,5.313354129472,5.30293719842784,5.40159777576773,6.17541797348635,6.70406178227818,7.13616169511763,7.10598848555536,7.52622850048251,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Australia,AUS,..,..,0.492176094166439,0.466271572132677,1.2131873768152,1.05794115098283,1.00290558493434,0.952285065168957,1.01550120564958,1.02149048044685,1.49022465606826,4.25364349317162
Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Australia,AUS,..,..,1.96838634633669,1.70189150824109,1.36517488167218,1.01384449933768,0.88872549882617,0.947676353339703,0.857013750175751,0.901855193874304,0.961493162441897,..
Battle-related deaths (number of people),VC.BTL.DETH,Australia,AUS,..,..,..,..,..,..,..,..,..,1,..,..
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),per_allsp.ben_q1_tot,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),per_sa_allsa.ben_q1_tot,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,Australia,AUS,..,97.4,97.07,97.17,97.16,97.16,97.21,97.21,97.17,97.17,97.15,..
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,Australia,AUS,..,96.91,96.48,96.46,96.46,96.46,96.54,96.54,96.48,96.48,96.48,..
"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,Australia,AUS,..,99.04,98.96,99.17,99.1,99.1,99.1,99.1,99.09,99.09,99.01,..
"Bird species, threatened",EN.BIR.THRD.NO,Australia,AUS,..,..,..,..,..,..,..,..,..,52,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Australia,AUS,15.4,13,13.6,13.7,13.3,13.2,12.9,12.9,12.6,12.6,12.1,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Australia,AUS,..,99.3,99.1,99.2,99.3,99.7,99.7,97,96.7,..,..,..
"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS,Australia,AUS,..,9.68,9.93,9.62,9.62,9.62,9.5,9.5,9.56,9.56,9.56,..
"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS,Australia,AUS,..,11.82,12.22,12.25,12.25,12.25,12.01,12.01,12.08,12.08,12.08,..
"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS,Australia,AUS,..,2.49,2.67,2.41,2.4,2.4,2.35,2.35,2.37,2.37,2.37,..
Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,Australia,AUS,54.1759520625959,67.6753587261158,99.8651676909465,101.280848891726,105.521229915263,108.546130450336,113.195474716442,118.11572220906,116.335665533837,113.544364540228,122.602590653999,137.060875771515
Broad money (current LCU),FM.LBL.BMNY.CN,Australia,AUS,218795000000,447441725000,1414711935846.84,1518663791174.9,1621130041674.28,1735142459087.75,1838974814198.07,1961564334926.97,2050266032025.33,2098935705144.84,2394036267182.5,2721258710700.45
Broad money growth (annual %),FM.LBL.BMNY.ZG,Australia,AUS,12.7576788291074,3.73990957467648,7.96777768795711,7.34791675210082,6.74713199161139,7.03289769991059,5.984082434644,6.66618812734301,4.52198765643149,2.37382234106626,14.0595331869537,13.6682325160868
Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,Australia,AUS,8.71529772917578,14.9298791220561,29.8575645557358,31.8684148784315,31.4780998509178,29.5471558782682,33.4716321453014,26.6607647176915,23.2188174483918,30.1956145956314,29.1419708876223,42.409508432889
Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,Australia,AUS,..,..,8,8,8,8,8,8,8,8,8,..
Capture fisheries production (metric tons),ER.FSH.CAPT.MT,Australia,AUS,237505,219713,217720.078125,216678.046875,201837.5,198323.203125,203270.71875,220959.375,229645.4375,225436.6875,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Australia,AUS,..,4.36979318252036,..,..,..,..,4.56955742794355,..,..,..,4.94105432186094,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Australia,AUS,..,5.86113345690273,..,..,..,..,5.85702495846548,..,..,..,5.94459221316378,..
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,Australia,AUS,..,89.7690707850361,..,..,..,..,89.5734193050277,..,..,..,89.1143536670652,..
